supplier_num,products,sku,batch_number,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
263,Isa,50880,,,0,0.19,1,1,0.05,0.3,0.8,0.8,0,0,Beer,Draught,f
263,Brewing  Do Not Use,521260,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Isa,521740,,,0,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
263,Stout,525360,,,8,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Bc,f
263,Social Stout,525360,SS,,0,6.5,1,12,0.05,0.1,0.05,0.05,0,0,Beer,Packaged,f
263,Red Ipa Bottle,533786,,,8.75E+11,0,1,12,0.06,0,0.04,0.04,0,0,Beer,Packaged,t
263,Single Hop Saison,536417,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Saisonella,54106,,,8.75E+11,0.5,1,1,0.04,0.3,1.75,1.75,0,0,Beer,Draught,t
263,Pilsner,549097,,,8.75E+11,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Packaged,t
263,Blonde,563445,,,8,0.5,1,1,0.04,0.3,1.65,1.65,0,0,Beer,Bc,f
263,West Coast Pale Ale,565986,,,8.75E+11,0.19,1,1,0.04,0.3,0.8,0.8,0,0,Beer,Draught,f
263,Hefe,567222,,,8.75E+11,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Packaged,t
263,Brewing Glassbender Saison Bottle,57208,,,8.75E+11,0,1,1,0.05,0,0.1,0.1,0,0,Beer,Packaged,t
263,Alt Bottle,58024,,,8.75E+11,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Packaged,t
263,Fresh Hop Ale,58024,FH,,8,0,1,12,0.04,0,0.06,0.06,0,0,Beer,Bc,t
263,Hefe,582502,,,8.75E+11,0.5,1,1,0.04,0.3,1.7,1.7,0,0,Beer,Draught,t
263,Winter Red,60079,,,8,6.5,1,12,0.06,0,0.05,0.05,0,0,Beer,Bc,f
263,Pilsner,607986,,,8,0,1,12,0.04,0,0.05,0.05,0,0,Beer,Bc,f
263,Helles Lager,607986,H,,0,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
263,Belgium Wit,622332,,,8.75E+11,0.19,1,1,0.04,0.3,0.8,0.8,0,0,Beer,Draught,t
263,Session Pack,623710,,,0,3.55,6,24,0.05,0.6,0.09,0.09,0,0,Beer,Packaged,f
263,Stout,631671,,,8.75E+11,0.5,1,1,0.04,0.3,1.65,1.65,0,0,Beer,Draught,f
263,Sevens Ipa Can Flat,635698,,,0,3.55,6,24,0.05,0,0.1,0.1,0,0,Beer,Packaged,f
263,Nut Brown,642199,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Red Ipa,653618,,,8.75E+11,0.5,1,1,0.06,0.3,1.75,1.75,0,0,Beer,Draught,t
263,Winter Red,653618,A,,0,0.5,1,1,0.05,0.3,1.75,1.75,0,0,Beer,Draught,f
263,Centennial Ipa,660563,,,8.75E+11,0.19,1,1,0.06,0.3,0.8,0.8,0,0,Beer,Draught,t
263,FalconerS Ipa,660563,F,,8,0.19,1,1,0.06,0.3,0.8,0.8,0,0,Beer,Bc,f
263,Raspberry Ale,663245,,,0,6.5,1,12,0.04,0.1,0.06,0.06,0,0,Beer,Packaged,f
263,Centennial Ipa,668301,,,8.75E+11,0.5,1,1,0.06,0.3,1.75,1.75,0,0,Beer,Draught,f
263,FalconerS Ipa,668301,F,,8,0.5,1,1,0.06,0.3,1.75,1.75,0,0,Beer,Bc,f
263,Raspberry Ale,669044,,,8,0.19,1,1,0.04,0.3,0.95,0.95,0,0,Beer,Bc,f
263,Brewing Pilsner Growler 1l,669606,,,8.75E+11,0.01,1,1,0.04,0,0,0,0,0,Beer,Packaged,t
263,Winter Wheat,673590,,,0,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
263,Hefe,677781,,,8,0,1,12,0.04,0,0.04,0.04,0,0,Beer,Bc,t
263,Brewing Ipa Growler,682674,,,8.75E+11,0.01,1,1,0.04,0,0.09,0.09,0,0,Beer,Packaged,t
