product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
Steel  Oak  BeechwoodSmoked Hefeweizen,764605,,,0,0.3,1,1,0.05,0.3,1.17,1.17,0,0,Beer,Draught,f
Steel  Oak  Royal City Ale,772699,,,0,0.01,1,1,0.05,0,0.09,0.09,0,0,Beer,Packaged,t
Steel  Oak  Dry Hopped Lager,772970,,,6,0,1,12,0.04,0,0.04,0.05,0,0,Beer,Bc,f
Steel  Oak  Smoked Dunkelweizen,790592,,,0,0.3,1,1,0.05,0.3,1.17,1.17,0,0,Beer,Draught,f
Steel  Oak  Esb Growler,794255,,,0,0.01,1,1,0.05,0,0.1,0.1,0,0,Beer,Packaged,t
Steel  Oak  Roggen Weizen,796060,,,0,0.5,1,1,0.05,0.3,1.8,1.8,0,0,Beer,Draught,f
Steel  Oak  Anniversary 2015,835405,,,0,0.5,1,1,0.05,0.3,1.8,1.8,0,0,Beer,Bc,f
Steel  Oak  Cask Ale,848390,,,0,0.4,1,1,0.05,0.3,1.77,1.77,0,0,Beer,Draught,f
Steel  Oak  BeechwoodSmoked Hefeweizen,849216,,,0,6.5,1,12,0,0.1,0.04,0.05,0,0,Beer,True,f
Steel  Oak  Vcbw Tu Meke,857821,,,0,0.5,1,1,0.06,0.3,2,2,0,0,Beer,Draught,f
Steel  Oak  Anniversary 2015,861336,,,0,0.3,1,1,0.05,0.3,1.17,1.17,0,0,Beer,Bc,f
Steel  Oak  Marzen,867630,,,0,0,1,12,0.05,0,0.04,0.05,0,0,Beer,Bc,f
Steel  Oak  Seasonal  Porter,867978,,,0,0.3,1,1,0.05,0.3,1.11,1.11,0,0,Beer,Draught,f
Steel  Oak  Seasonal  Smoked Lager,867978,B,,0,0.3,1,1,0.05,0.3,1.11,1.11,0,0,Beer,Bc,f
Steel  Oak  Dark Lager,877092,,,0,0.3,1,1,0.05,0.3,1.11,1.11,0,0,Beer,Draught,f
Steel  Oak  Kataja,88344,,,6,0,1,12,0.05,0,0.04,0.05,0,0,Beer,Bc,f
Steel  Oak  Specialty Cask Ale,888651,,,0,0.4,1,1,0.05,0.3,1.95,1.95,0,0,Beer,Draught,f
Steel  Oak  Tortuga,890467,,,6,0,1,12,0.07,0,0.08,0.09,0,0,Beer,Bc,f
Steel  Oak  Dark Lager,892059,,,6,0,1,12,0.05,0,0.04,0.05,0,0,Beer,Bc,f
