product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
2014 Reserve Pinot Noir,675900,,,0,7.5,1,6,0.13,0.01,0.39,0.34,0,0,Wine,Canada,f
Reserve Pinot Noir,675900,,,692739000149,0,1,6,0.13,0,0.39,0.34,0,0,Wine,Canada,f
2011 Reserve Pinot Noir,6759002011,,,0,0,1,6,0.12,0,0.39,0.34,0,0,Wine,Canada,f
farm Reserve Pinot Noir,675900,SS,,6,0,1,1,0.13,0,0.14,0.14,0,0,Wine,Bc,t
Riesling Wh,71233,,,0,0,1,12,0.11,0,0.22,0.18,0,0,Wine,Canada,f
Riesling,71233,SS,,0,0,1,1,0.11,0,0.22,0.17,0,0,Wine,Bc,t
Farm Pinot Blanc Wh,748004,,,692739000163,0,1,12,0.13,0,0.22,0.18,0,0,Wine,Canada,f
2015 Pinot Blanc Wh,748004,B,,0,7.5,1,12,0.12,0.1,0.18,0.18,0,0,Wine,Canada,f
Farm Pinot Blanc,748004,SS,,6,0,1,1,0.13,0,0.14,0.14,0,0,Wine,Bc,t
Noble Blend Magnum,748855,,,0,0.01,1,6,0.12,0,0.52,0.48,0,0,Wine,Canada,f
farm Gewurztraminer,754317,,,692739002648,0,1,12,0.12,0,0,0,0,0,Wine,Canada,t
farm Gewurztraminer,754317,SS,,6,0,1,1,0.12,0,0.14,0.14,0,0,Wine,Bc,t
Wild Thyme Gewurztraminer,757146,,,692739002716,0,1,12,0.12,0,0,0,0,0,Wine,Canada,f
Wild Thyme Gewurztraminer,757146,SS,,6,0,1,1,0.12,0,0.14,0.14,0,0,Wine,Bc,t
Alpine White,759480,,,0,0,1,12,0.12,0,0,0,0,0,Wine,Canada,f
Alpine White,759480,SS,,0,0,1,1,0.12,0,0.14,0.14,0,0,Wine,Bc,t
Muscat R 2006,806315,,,0,0,1,12,0.1,0,0,0,0,0,Wine,Canada,t
Muscat,806315,SS,,0,0,1,1,0.1,0,0.14,0.14,0,0,Wine,Bc,t
Pinot Blanc Rt,821017,,,0,0,1,12,0.12,0,0.22,0.18,0,0,Wine,Canada,f
2015 Pinot Blanc Rt,821017,B,,0,7.5,1,12,0.1,0.1,0.18,0.18,0,0,Wine,Canada,f
Wines  Pinot Blanc Dedication,821017,SS,,0,0,1,1,0.12,0,0.14,0.14,0,0,Wine,Bc,t
Ptg,823799,,,692739000064,0,1,12,0.13,0,0.23,0.2,0,0,Wine,Canada,f
2014 Ptg,823799,,,0,7.5,1,12,0.12,0.1,0.25,0.2,0,0,Wine,,f
Ptg,823799,SS,,6,0,1,1,0.13,0,0.14,0.14,0,0,Wine,Bc,t
Reserve Gewurztraminer,865766,,,692739000156,0,1,12,0.13,0,0.27,0.24,0,0,Wine,Canada,f
Reserve Gewurztraminer 2012,865766,,,0,0.75,1,12,0.12,0,0.27,0.24,0,0,Wine,Canada,t
farm Reserve Gewurztraminer,865766,SS,,6,0,1,1,0.13,0,0.14,0.14,0,0,Wine,Bc,t
A Noble Blend Wh,882027,,,692739000019,0,1,12,0.12,0,0.23,0.19,0,0,Wine,Canada,f
2015 Noble Blend Wh,882027,B,,0,7.5,1,12,0.12,0.1,0.19,0.19,0,0,Wine,Canada,f
A Noble Blend,882027,SS,,6,0,1,1,0.12,0,0.14,0.14,0,0,Wine,Bc,t
Pinot Noir,885145,,,692739000170,0,1,12,0.13,0,0.23,0.2,0,0,Wine,Canada,f
farm Pinot Noir,885145,SS,,6,0,1,1,0.13,0,0.14,0.14,0,0,Wine,Bc,t
Noble Blend Double Magnum 2007,886952,,,0,0.03,1,1,0.12,0,0,0,0,0,Wine,Canada,t
Wild Thyme Viognier,97303,,,0,0,1,12,0.13,0,0,0,0,0,Wine,Canada,t
Wild Thyme,97303,SS,,0,0,1,1,0.13,0,0.11,0.11,0,0,Wine,Bc,t
