product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
Cry Me A River Gose,646810,,,628201000997,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
Driftwood  Sartori Harvest Ipa Growler,651539,,,0,0.01,1,1,0.06,0,0,0,0,0,Beer,Packaged,t
Sartori Harvest Ipa 20l Cask,666453,,,0,0.2,1,1,0.06,0.3,1.15,1.15,0,0,Beer,Draught,f
Son Of The Morning,669812,,,0,0.18,1,1,0.1,0.3,1.15,1.15,0,0,Beer,Draught,f
Bratt Brettanomyces Ale,680488,,,628201000331,0,1,12,0.06,0,0.06,0.06,0,0,Beer,Packaged,f
Sartori Harvest Ipa,742122,,,0,0.4,1,1,0.07,0.3,0,0,0,0,Beer,Draught,f
Rock Bay MashUp,752170,,,628201000775,0,1,12,0.08,0,0.07,0.07,0,0,Beer,Packaged,f
Driftwood  Naughty Hildegard Esb Growler,764324,,,0,0.01,1,1,0.06,0,0,0,0,0,Beer,Packaged,t
Driftwood  Bratt Brettanomyces Ale Growler,785998,,,0,0.01,1,1,0.06,0,0,0,0,0,Beer,Packaged,t
Crooked Coast Altbier,811976,,,628201000140,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
Blackstone Porter,817197,,,0,0.18,1,1,0.05,0.3,0,0,0,0,Beer,Draught,f
Farm Hand Saison,822395,,,0,0.5,1,1,0.05,0.3,1.7,1.7,0,0,Beer,Draught,f
Sartori Harvest Ipa,83188,,,628201000157,0,1,12,0.07,0,0.06,0.06,0,0,Beer,Packaged,f
Fat Tug Ipa,844399,,,628201000126,0,1,12,0.07,0,0.05,0.05,0,0,Beer,Packaged,f
New Growth Pale Ale,847012,,,628201000010,0,1,12,0.05,0,0.05,0.05,0,0,Beer,Packaged,f
Old Cellar Dweller,858571,,,0,0.2,1,1,0.11,0.3,1.9,1.9,0,0,Beer,Draught,f
Fat Tug Ipa,87163,,,0,0.5,1,1,0.07,0.3,1.87,1.87,0,0,Beer,Draught,f
Cry Me A River Gose,875849,,,0,0.5,1,1,0.05,0.3,1.7,1.7,0,0,Beer,Draught,f
New Growth Pale Ale,879361,,,0,0.19,1,1,0.05,0.3,0.73,0.73,0,0,Beer,Draught,f
Old Cellar Dweller,881250,,,628201000096,0,1,12,0.12,0,0.1,0.1,0,0,Beer,Packaged,f
Singularity Russian Imperial Stout,890764,,,628201000133,0,1,12,0.11,0,0.1,0.1,0,0,Beer,Packaged,f
Pilsner Doehnel,892042,,,0,0.19,1,1,0.05,0.3,1.05,1.05,0,0,Beer,Draught,f
Pilsner Doehnel,893461,,,628201000669,0,1,12,0.05,0,0.06,0.06,0,0,Beer,Packaged,f
Twenty Pounder,91595,,,0,0.19,1,1,0.09,0.3,1.2,1.2,0,0,Beer,Draught,f
