manufacturer_id,agent_num,sku,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,litter_rate,alcohol_percentage,products,price_eff_date,category_1,category_2,category_3,list_type_1,list_type_2,mfr_price,rtl_price,sp_price
228,2157,144212,6.2699E+11,0.75,1,12,0.1,14.7,Baco Noir 10/11,14-05-04,WINE,CANADA,RED,X,A,0,0,0
228,2157,172460,6.2699E+11,0.75,1,12,0.1,14.3,Lazerus,14-05-04,WINE,CANADA,RED,X,A,0,0,0
228,2157,172486,6.2699E+11,0.75,1,12,0.1,14.7,Gewurztraminer,14-05-04,WINE,CANADA,WHITE,X,A,0,0,0
228,2157,172510,6.2699E+11,0.75,1,12,0.1,14.8,Pinot Gris,14-01-26,WINE,CANADA,WHITE,X,A,0,0,0
228,2157,205963,6.2699E+11,0.75,1,12,0.1,13.1,Rose 11/12,14-05-04,WINE,CANADA,ROSE,X,A,0,0,0
228,2157,205997,6.2699E+11,0.75,1,12,0.1,13.1,Gewurztraminer,14-05-04,WINE,CANADA,WHITE,X,A,0,0,0
228,2157,206003,6.2699E+11,0.75,1,12,0.1,13.1,Pinot Gris 2011,14-05-04,WINE,CANADA,WHITE,X,A,0,0,0
228,2157,207233,6.2699E+11,0.75,1,12,0.1,13.7,Pinot Noir 2010,14-05-04,WINE,CANADA,RED,X,A,0,0,0
228,2157,436550,6.2699E+11,0.75,1,12,0.1,15.2,Pinot Noir,14-01-26,WINE,CANADA,RED,X,A,0,0,0
