supplier_num,product,sku,batch_id,batch_name,upc,litres_per_bottle,bottles_per_skid,bottles_per_case,alcohol_percentage,litter_rate,mfr_price,rtl_price,sp_price,ws_price,category_1,category_2,active
8522,Whistler  Seasonal,543017,,,626990202363,0.3,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Whistler  Fox Tail Session Red Ale Can,544023,,,6,0,6,24,0.04,0,0,0,0,0,Beer,Bc,t
8522,Whistler  Pineapple Express Wheat Ale,545665,,,626990129240,0,1,12,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler  Lost Lake Ipa,56234,,,626990202356,0.3,1,1,0.06,0.3,0,0,0,0,Beer,Draught,t
8522,Whistler  Creekside Lager,565911,,,626990088141,0.5,1,1,0.05,0.3,1.42,1.42,0,0,Beer,Draught,f
8522,Whistler  Paradise Valley Grapefruit Ale Keg,565929,,,626990157120,0.5,1,1,0.05,0.3,1.68,1.68,0,0,Beer,Draught,f
8522,Whistler  Whiskey Jack Ale,576058,,,626990202325,0.3,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Whistler  Winter Mountain Mixer,5769,,,626990051213,0,12,12,0.05,0.01,0,0,0,0,Beer,Packaged,t
8522,Whistler  Bear Paw Honey Lager Can,602326,,,626990183655,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Lonetree Ginger Apple Cider,640656,,,626990202424,0,24,24,0.05,0.02,0,0,0,0,Cider,,t
8522,Whistler Golden Wheat,646703,,,626990091271,0.5,1,1,0.05,0.3,1.42,1.42,0,0,Beer,Draught,f
8522,Whistler  Lost Lake Unfiltered Ipa,647289,,,626990129332,0.5,1,1,0.07,0.3,1.68,1.68,0,0,Beer,Draught,f
8522,Whistler  Whiskey Jack Ale Cans,653964,,,626990088110,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Northam Brewery  Pin Up Pale Ale,659904,,,0,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Northam Brewing  Albino Lager,660373,,,626990102939,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Whistler  Grapefruit Ale,661736,,,626990102892,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Bowen Island  Easy Radler Can,674200,,,6,0,6,24,0.03,0,0,0,0,0,Beer,Bc,t
8522,Bowen Island Artisan Ipa,692400,,,626990170341,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Bear Brewing  Albino Rhino Ale,701862,,,0,0.5,1,1,0.04,0.3,0,0,0,0,Beer,Draught,t
8522,Bear Brewing  Winter Pudding Ale,701920,,,626990157151,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Bowen Artisan Ipa,709170,,,0,0.5,1,1,0.04,0.3,0,0,0,0,Beer,Draught,t
8522,Bowen Island  Sun Chaser Cream Ale,709352,,,0,0.5,1,1,0.04,0.3,0,0,0,0,Beer,Draught,t
8522,Bowen Island  Mutiny Red Ale,745489,,,0,0.5,1,1,0.01,0.3,1.43,1.43,0,0,Beer,,f
8522,Whistler  The Chief Chipotle Harvest Ale,747337,,,626990088028,0,1,12,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler Mountain Lager,764175,,,0,0.5,1,1,0.05,0.3,1.68,1.68,0,0,Beer,Draught,f
8522,Bowen Island  Reef Break Blonde Ale,768424,,,6,0.5,1,1,0.01,0.3,1.43,1.43,0,0,Beer,,f
8522,Lonetree Ginger Apple Dry Cider,777631,,,626990170372,0,6,24,0.05,0,0,0,0,0,Cider,,t
8522,Whistler  Black Tusk Ale,790436,,,626990170334,0,1,12,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Bowen Island  Wild Wood Honey Brown Lager,822635,,,626990061694,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler  Nordic Honey Lager,829002,,,626990091264,0.5,1,1,0.05,0.3,1.42,1.42,0,0,Beer,Draught,f
8522,Lonetree Authentic Dry Cider,829218,,,626990202417,0,24,24,0.05,0.02,0,0,0,0,Cider,,t
8522,Whistler  Powder Mountain Lager Cans,865485,,,626990088059,0,6,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler  Travel Pack Cans,872523,,,626990129356,0,12,12,0.05,0.01,0,0,0,0,Beer,Packaged,t
8522,Bowen Island  Sea Spray Amber Ale Can,879619,,,626990102991,0,1,24,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Spec Whistler  Big Sky Uncommon Lager,899005,,,626990183723,0,1,12,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler  Export Lager,901348,,,0,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Whistler  Black Tusk Ale,901355,,,0,0.5,1,1,0.05,0.3,1.68,1.68,0,0,Beer,Draught,f
8522,Whistler  Whiskey Jack Pale Ale,901363,,,0,0.5,1,1,0.05,0.3,1.68,1.68,0,0,Beer,Draught,f
8522,Whistler  Avalanche Pale Ale,904508,,,0,0.5,1,1,0.05,0.3,1.42,1.42,0,0,Beer,Draught,f
8522,Bear Brewing  Black Bear Ale,939835,,,0,0.5,1,1,0.05,0.3,1.2,1.2,0,0,Beer,Draught,f
8522,Bowen Island  Traditional Lager Sc,961094,,,6,0,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Bowen Island   Irish Cream Ale Sc,961136,,,6,0,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
8522,Whistler  Joey Summer Ale,962043,,,626990183778,0.5,1,1,0.05,0.3,0,0,0,0,Beer,Draught,t
8522,Bowen Island Classic Pale Ale Sc,962589,,,6,0,1,1,0.05,0,0,0,0,0,Beer,Packaged,t
